Energy(ev),  Intensity
 842.00 , 42051
 843.00 , 41959
 844.00 , 42102
 845.00 , 42130
 846.00 , 41999
 847.00 , 42131
 848.00 , 42085
 849.00 , 42114
 850.00 , 42182
 851.00 , 42197
 852.00 , 42210
 853.00 , 42183
 854.00 , 42233
 855.00 , 42251
 856.00 , 42337
 857.00 , 42286
 858.00 , 42318
 859.00 , 42326
 860.00 , 42413
 861.00 , 42437
 862.00 , 42427
 863.00 , 42454
 864.00 , 42465
 865.00 , 42531
 866.00 , 42444
 867.00 , 42478
 868.00 , 42556
 869.00 , 42543
 870.00 , 42599
 871.00 , 42603
 872.00 , 42602
 873.00 , 42780
 874.00 , 42681
 875.00 , 42711
 876.00 , 42728
 877.00 , 42742
 878.00 , 42758
 879.00 , 42904
 880.00 , 42963
 881.00 , 42826
 882.00 , 42871
 883.00 , 42884
 884.00 , 42952
 885.00 , 42943
 886.00 , 42924
 887.00 , 42954
 888.00 , 42993
 889.00 , 43071
 890.00 , 43045
 891.00 , 43021
 892.00 , 43100
 893.00 , 43130
 894.00 , 43191
 895.00 , 43158
 896.00 , 43183
 897.00 , 43242
 898.00 , 43266
 899.00 , 43217
 900.00 , 43353
 901.00 , 43346
 902.00 , 43398
 903.00 , 43398
 904.00 , 43301
 905.00 , 43383
 906.00 , 43369
 907.00 , 43474
 908.00 , 43490
 909.00 , 43443
 910.00 , 43459
 911.00 , 43497
 912.00 , 43491
 913.00 , 43643
 914.00 , 43553
 915.00 , 43577
 916.00 , 43592
 917.00 , 43748
 918.00 , 43700
 919.00 , 43754
 920.00 , 43662
 921.00 , 43687
 922.00 , 43769
 923.00 , 43769
 924.00 , 43832
 925.00 , 43785
 926.00 , 43879
 927.00 , 43913
 928.00 , 43869
 929.00 , 43912
 930.00 , 43892
 931.00 , 43989
 932.00 , 44031
 933.00 , 44021
 934.00 , 44004
 935.00 , 44051
 936.00 , 44085
 937.00 , 44151
 938.00 , 44150
 939.00 , 44140
 940.00 , 44139
 941.00 , 44186
 942.00 , 44262
 943.00 , 44340
 944.00 , 44281
 945.00 , 44286
 946.00 , 44357
 947.00 , 44278
 948.00 , 44320
 949.00 , 44418
 950.00 , 44402
 951.00 , 44434
 952.00 , 44443
 953.00 , 44502
 954.00 , 44563
 955.00 , 44501
 956.00 , 44470
 957.00 , 44563
 958.00 , 44606
 959.00 , 44650
 960.00 , 44594
 961.00 , 44657
 962.00 , 44699
 963.00 , 44726
 964.00 , 44723
 965.00 , 44722
 966.00 , 44774
 967.00 , 44791
 968.00 , 44787
 969.00 , 44793
 970.00 , 44812
 971.00 , 44920
 972.00 , 44884
 973.00 , 44879
 974.00 , 44905
 975.00 , 44980
 976.00 , 44989
 977.00 , 45032
 978.00 , 45065
 979.00 , 45082
 980.00 , 45174
 981.00 , 45115
 982.00 , 45146
 983.00 , 45226
 984.00 , 45220
 985.00 , 45249
 986.00 , 45249
 987.00 , 45205
 988.00 , 45301
 989.00 , 45298
 990.00 , 45339
 991.00 , 45369
 992.00 , 45403
 993.00 , 45349
 994.00 , 45405
 995.00 , 45398
